make,price,body,mileage,engV,engType,registration,year,drive
33,27768.975,0,1,2.2,0,1,2015,0
74,37500.0,0,115,5.7,3,1,2008,1
55,21303.75,0,1,2.0,3,1,2015,0
5,39600.0,0,98,3.0,3,1,2011,1
39,19600.0,0,80,2.0,1,1,2013,1
12,8900.0,3,58,2.0,3,1,2012,0
55,14500.0,0,740,2.0,3,1,2008,1
76,3350.0,3,154,1.6,1,1,2008,0
33,11999.0,3,162,2.2,0,1,2006,1
12,4999.0,3,135,1.5,1,1,2008,0
77,2450.0,3,200,1.3,1,1,1991,0
74,11999.0,3,139,3.5,3,1,2008,0
50,39900.0,3,84,5.5,3,1,2011,1
12,6300.0,1,81,1.6,3,1,2009,0
77,12000.0,5,196,2.0,0,1,2011,0
5,33000.0,3,147,3.0,0,1,2009,2
33,15999.0,0,87,2.4,1,1,2011,1
67,15800.0,3,39,1.8,3,1,2013,0
67,3400.0,1,220,1.9,0,0,2002,0
5,49900.0,2,82,3.0,3,1,2012,2
33,12333.0,0,78,2.0,3,1,2009,1
67,15500.0,4,112,1.8,3,1,2011,0
77,9200.0,3,195,2.0,3,1,2006,0
